Merchant,2021-09-12,2021-09-18,2021-09-24
DroneNerds.com,0.035,0.035,0.035
Duer,0.025,0.025,0.025
Duluth Trading Co,0.01,0.01,0.05
Dun & Bradstreet,0.105,0.105,0.105
Duradry,0.05,0.05,0.05
Dylan's Candy Bar,0.03,0.05,0.05
Dyson,0.01,0.01,0.01
E-Z UP,0.02,0.02,0.02
ECCO,0.02,0.02,0.02
EDCskincare,0.025,0.025,0.025
EGO Shoes,0.03,0.015,0.015
EILEEN FISHER,0.02,0.02,0.02
ELEMIS,0.03,0.03,0.03
ELOQUII,0.01,0.01,0.01
EMPORIO ARMANI,0.03,0.03,0.03
ENSEMBL,0.06,0.06,0.06
ENVE Composites,0.03,0.03,0.03
ESET,0.1,0.1,0.1
ESPA,0.035,0.035,0.035
EVEN Hotels by IHG,0.03,0.03,0.03
EXPRESS,0.04,0.04,0.02
EZ Prints,0.025,0.025,0.025
Eagle Creek,0.02,0.02,0.02
Eagle Eyes Optics,0.04,0.04,0.04
Eaglemoss,0.035,0.035,0.035
East Dane,0.04,0.04,0.04
Eastbay,0.03,0.02,0.02
Easy Canvas Prints,0.015,0.015,0.015
Easy Spirit,0.01,0.02,0.02
EasyClosets,0.01,0.01,0.01
EasyGarage,0.01,0.01,0.01
Econo Lodge by Choice Hotels,0.03,0.01,0.01
Ecosa,0.03,0.03,0.03
Eczema Honey,0.025,0.025,0.025
Eddie Bauer,0.01,0.01,0.01
Eden Brothers,0.025,0.025,0.025
Edible Arrangements,0.01,0.01,0.01
Effy Jewelry,0.02,0.02,0.02
Eight Sleep,0.03,0.03,0.03
Ekrin Athletics,0.035,0.035,0.035
Electric,0.08,0.08,0.08
Electronic Express,0.02,0.02,0.02
Eleonora Bonucci,0.075,0.075,0.075
Elie Tahari,0.02,0.02,0.02
Elixinol,0.075,0.075,0.075
Elizabeth Arden,0.05,0.05,0.05
Ella Paradis,0.05,0.05,0.05
Embark Veterinary,0.03,0.03,0.03
Embr Labs,0.055,0.055,0.055
Emma Mattress,0.06,0.06,0.06
EnergyFirst,0.015,0.015,0.015
Enfamil,0.01,0.01,0.01
Engel Coolers,0.01,0.01,0.01
Enjoy Flowers,0.075,0.075,0.075
Enro,0.03,0.03,0.03
Enso Rings,0.02,0.02,0.02
Entertainment Earth,0.03,0.03,0.03
Entertainment.com,0.1,0.1,0.1
Entirely Pets,0.03,0.03,0.03
EntirelyPets Pharmacy,0.03,0.03,0.03
Entireworld,0.025,0.025,0.025
Epson Store,0.015,0.015,0.015
Equestrian Collections,0.025,0.025,0.025
EquiLife,0.035,0.035,0.035
Equipment,0.05,0.05,0.05
Ergo Desktop,0.05,0.05,0.05
Ergoal,0.02,0.02,0.02
Ergotron,0.015,0.015,0.015
Erin Condren,0.01,0.01,0.01
Erno Laszlo,0.04,0.04,0.04
Especially Yours,0.01,0.01,0.01
Estée Lauder,0.03,0.03,0.03
Eternity Modern,0.025,0.025,0.025
Ethel M. Chocolates,0.075,0.075,0.075
Etihad Airways,0.01,0.01,0.01
Ettika,0.075,0.075,0.075
Eu Natural,0.025,0.025,0.025
Europcar,0.035,0.035,0.035
Evan Evans,0.035,0.035,0.035
Evan-Moor,0.035,0.035,0.035
Eve's Addiction Jewelry,0.05,0.05,0.05
Evening Collective,0.06,0.06,0.06
Event Decor Direct,0.035,0.035,0.035
Ever New Melbourne,0.035,0.035,0.035
Ever-Pretty,0.05,0.05,0.05
Everlast,0.025,0.025,0.025
Everlywell,0.03,0.03,0.03
Every Man Jack,0.04,0.04,0.04
EveryDrop,0.04,0.04,0.04
EveryMarket,0.03,,
Everything But Water,0.03,0.03,0.03
EvoShield,0.02,0.02,0.02
Evolvetogether,0.04,0.04,0.04
ExOfficio,0.025,0.025,0.025
Exam Edge,0.09,0.09,0.09
Expedia,0.035,0.035,0.035
Extended Stay America,0.06,0.05,0.05
Exuviance,0.05,0.05,0.05
EyeBuyDirect.com,0.05,0.1,0.05
Eyeconic,0.01,0.01,0.01
Eyeglasses.com,0.06,0.06,0.06
Eyeko,0.05,0.035,0.035
FARFETCH,0.01,0.01,0.01
FEED,0.015,0.015,0.015
FLIR Systems,0.04,0.04,0.04
FOCO,0.04,0.04,0.04
FOREO,0.02,0.02,0.02
FOSSIL,0.02,0.02,0.02
FREY,0.04,0.04,0.04
FSA Store,0.02,0.02,0.02
FTD Flowers,0.05,0.05,0.05
FaceTory,0.035,0.035,0.035
Factor 75,0.2,0.4,0.2
Factory Direct Filters,0.04,0.04,0.04
Factory Outlet Store,0.01,0.01,0.01
Fairfield Inn,0.04,0.045,0.045
Fairmont Hotels and Resorts,0.025,0.025,0.025
Fairway Golf,0.075,0.075,0.075
Falconeri,0.06,0.06,0.06
Famous Dave's,0.02,0.02,0.02
Famous Footwear,0.01,0.03,0.03
Fanatics,0.01,0.01,0.01
Fancy Sprinkles,0.035,0.035,0.035
Fandango,0.015,0.015,0.03
FansEdge,0.01,0.01,0.01
FarmFoods,0.02,0.02,0.02
Farmacy,0.05,0.05,0.1
Farmbox Direct,,0.35,0.35
Fashion to Figure,0.01,0.01,0.01
Fast Bar,0.075,0.075,0.075
Fat Brain Toys,0.04,0.04,0.04
Fathead,0.025,0.025,0.025
Faux Panels,0.015,0.015,0.015
Favorite Daughter,0.04,0.04,0.04
FedEx Office,0.025,0.025,0.025
FeelGood Store,0.025,0.025,0.025
Feelunique,0.06,0.06,0.06
Felina,0.05,0.05,0.05
Felix Gray,0.02,0.02,0.02
Felt Paper Scissors,0.025,0.025,0.025
Fenty Beauty + Fenty Skin,0.02,0.02,0.05
Field & Stream,0.05,0.05,0.05
Field Supply,0.035,0.035,0.035
FinditParts,0.03,0.03,0.03
Finish Line,0.03,0.1,0.03
First Aid Beauty,0.04,0.04,0.04
Firstleaf,0.05,0.05,0.05
FishUSA,0.03,0.03,0.03
FitFlop,0.06,0.035,0.035
FitTrack,0.035,0.035,0.035
Flamingo Las Vegas,0.025,0.025,0.025
FlashlightDealer.com,0.015,0.015,0.015
Flat Tummy Co,0.05,0.05,0.05
Fleet Feet,0.025,0.025,0.025
Flex,,,0.03
Flex Watches,0.05,0.05,0.05
FlexJobs,0.05,0.05,0.05
Flexibits,0.25,0.25,0.25
Florsheim,0.025,0.025,0.025
Flower Beauty,0.03,0.03,0.03
FlowerShopping.com,0.03,0.03,0.03
Flowers by Florists.com,0.15,0.15,0.15
Focus Camera,0.015,0.015,0.015
Focus Factor,0.05,0.05,0.05
Follain,0.04,0.04,0.04
Food Saver,0.015,0.015,0.015
Food52,0.02,0.02,0.02
Foot Locker,0.04,0.04,0.08
FootJoy,0.025,0.025,0.025
Footaction,0.03,0.03,0.03
For Days,0.03,0.03,0.03
Forbes & Lewis,0.05,0.05,0.05
Forever 21,0.1,0.1,0.05
Forward by Elyse Walker,0.05,0.05,0.05
Fox Racing,0.025,0.025,0.025
Fox Rent-a-Car,0.02,0.02,0.02
Foxcroft,0.025,0.025,0.025
FoxyBae,0.05,0.05,0.05
FragranceNet.com,0.01,0.01,0.01
FragranceX,0.015,0.015,0.015
Framebridge,0.01,0.01,0.01
FramedArt.com,0.04,0.04,0.04
FramesDirect,0.03,0.03,0.03
Franco Sarto,0.03,0.03,0.03
Frank & Eileen,,,0.015
Frank And Oak,0.035,0.035,0.035
Franklin Planner,0.06,0.06,0.06
Frasier Sterling,0.02,0.02,0.02
Fred Meyer Jewelers,0.075,0.075,0.075
Frederick's of Hollywood,0.04,0.04,0.04
Free Logo Services,0.06,0.06,0.06
Free People,0.01,0.01,0.01
Free Tax USA,0.075,0.075,0.075
French Connection,0.03,0.03,0.03
Frenchtoast.com,0.025,0.025,0.025
Fresh Clean Tees,0.04,0.04,0.04
Fresh Pawz,0.05,0.05,0.05
Freshpair,0.01,0.01,0.01
Frette,0.03,0.03,0.03
Frmoda,0.065,0.065,0.065
From You Flowers,0.15,0.15,0.15
Frontera.com,0.05,0.05,0.05
Fruit Bouquets by 1800Flowers.com,0.04,0.04,0.04
Fulton Fish Market,0.025,0.025,0.025
Fun.com,0.06,0.06,0.06
Funjet Vacations,0.01,0.01,0.01
Furbo Dog Camera,0.04,0.04,0.04
Furhaven Pet Products,0.065,0.065,0.065
Future Fitness,0.5,0.5,0.5
Fuzzy,0.075,0.075,0.075
G-Form,0.05,0.05,0.05
G-Star RAW,0.06,0.06,0.06
G.H. Bass and Co.,0.04,0.04,0.04
G/Fore,0.03,0.03,0.03
GHOST DEMOCRACY,0.075,0.075,0.075
GIGLIO.COM,0.05,0.05,0.05
GLAMGLOW,0.04,0.04,0.04
GNC,0.03,0.03,0.03
GUESS,0.04,0.04,0.04
GUESS Factory,0.04,0.04,0.04
GUNNAR Optiks,0.05,0.05,0.05
Gabb Wireless,0.05,0.05,0.05
Gaffos.com,0.04,0.04,0.04
Gaia Herbs,0.015,0.015,0.015
Gaiam,,0.035,0.035
GameFly,0.05,0.05,0.05
GameStop,0.025,0.025,0.025
Gander Outdoors,0.02,0.02,0.02
Ganni,0.04,0.04,0.04
Gap,0.06,0.06,0.06
Gap Canada,0.02,0.02,0.02
Gap Factory,0.06,0.06,0.02
Gap Kids,0.06,0.06,0.06
Gap Maternity,0.06,0.06,0.06
Garmin,0.035,0.035,0.03
Garrett Wade,0.05,0.05,0.05
Gazelle,0.015,0.015,0.015
GelPro,0.01,0.01,0.01
Gem-Water,0.05,0.05,0.05
Gemvara,0.02,0.02,0.02
Gerber Childrenswear,0.03,0.03,0.03
Get Maine Lobster,0.025,0.025,0.025
Getzs,0.04,0.04,0.04
Ghirardelli Chocolate,0.04,0.04,0.04
GiftBasket.com,0.02,0.02,0.02
GiftCardMall.com,0.01,0.01,0.01
GiftCards.com,0.01,0.01,0.02
GiftTree,0.045,0.045,0.045
Gifts For You Now,0.075,0.075,0.075
Gillette on Demand,0.07,0.06,0.04
Gilt,0.01,0.01,0.01
Giuseppe Zanotti,0.03,0.03,0.03
Gladskin,0.04,0.04,0.04
Glamorise,0.075,0.05,0.05
Glasses Shop,0.1,0.1,0.1
Glasses.com,0.07,0.05,0.05
GlassesUSA,0.05,0.05,0.05
Gleamin,0.03,0.03,0.03
GlobeIn,0.02,0.02,0.02
Glossier,0.025,0.025,0.025
Glossybox.com,0.03,0.09,0.09
Glow Recipe,0.03,0.03,0.03
Glyde,0.02,0.02,0.02
Glytone,0.04,0.04,0.04
Go Airlink,0.05,0.05,0.05
Go City Card,0.03,0.03,0.03
Go-To Skin Care,0.03,0.03,0.03
GoDaddy,0.025,0.025,0.025
GoPro,0.015,0.015,
Godiva,0.01,0.01,0.01
Gold Medal Wine Club,0.025,0.025,0.025
Goldbelly,0.01,0.01,0.01
Golf Apparel Shop,0.025,0.025,0.025
Golf Galaxy,0.015,0.015,0.015
Goli,0.02,0.02,0.02
Good American,0.01,0.01,0.01
Good Morning Snore Solution,0.125,0.125,0.125
Goodyear,0.03,0.03,0.03
Goop,0.02,0.02,0.02
Gopuff,0.075,0.075,0.075
Gourmesso,0.06,0.06,0.06
Gourmet Gift Baskets,0.04,0.04,0.04
Graco,0.015,0.015,0.015
Graham & Brown,0.025,0.025,0.025
Grande Cosmetics,0.025,0.025,0.025
Grasshoppers,0.03,0.03,0.03
Great Value Vacations,0.015,0.015,0.015
Great Wolf Lodge,0.015,0.015,0.015
Greats,0.025,0.025,0.025
Green Chef,0.225,0.225,0.225
Green Man Gaming,0.02,0.02,0.02
GreenPharm,0.025,0.025,0.025
Greenvelope,0.015,0.015,0.015
Greetabl,0.055,0.055,0.055
Greeting Card Universe,0.035,0.035,0.035
Grounds & Hounds Coffee Co.,,,0.04
Groupon,0.04,0.04,0.1
Groupon Getaways,0.03,0.03,0.03
Grove Collaborative,0.02,0.02,0.02
Grow Gorgeous,0.035,0.035,0.035
Grubhub,0.11,0.11,0.11
Grunt Style,0.03,0.03,0.03
Gymboree,0.015,0.05,0.05
H&M,0.03,0.015,0.015
HATCH,0.04,0.04,0.04
HBX,0.03,0.03,0.03
HELM,0.025,0.025,0.025
HOBO,0.03,0.03,0.03
HOMAGE,0.025,0.025,0.025
HORNE,0.055,0.055,0.055
HP.com,0.01,0.01,0.01
HSAstore.com,0.02,0.02,0.02
HSN,0.01,0.05,0.05
HTC Vive,0.02,0.02,0.02
HU Chocolate,0.05,0.05,0.05
HUE,0.05,0.05,0.05
HYLETE,0.04,0.04,0.04
HYPER,0.04,0.04,0.04
Haband,0.025,0.025,0.025
Haggar.com,0.04,0.04,0.04
Hair.com,0.05,0.05,0.05
Hairstory,0.03,0.03,0.03
Hale Bob,0.015,0.015,0.015
Hallelujah Diet,0.04,0.04,0.04
HalloweenCostumes.com,0.06,0.06,0.06
Halston Heritage,0.03,0.03,0.03
Hamama,0.035,0.035,0.035
Hamilton Beach,0.03,0.03,0.03
Hammacher Schlemmer,0.04,0.04,0.04
Hammes Notre Dame Bookstore,,0.02,0.02
Hammitt,0.015,0.015,0.015
Hampden,0.04,0.04,0.04
Hanes,0.02,0.02,0.02
Hanky Panky,0.04,0.03,0.03
Hanna Andersson,0.01,0.01,0.01
Hansen Wholesale,0.04,0.04,0.04
Happsy,0.02,0.02,0.02
Happy Socks,0.05,0.05,0.05
Harbinger,0.035,0.035,0.035
Hard Tail Forever,0.05,0.05,0.05
Harley Davidson Footwear,0.015,0.015,0.015
Harman Kardon,0.03,0.03,0.03
Harney & Sons,0.03,0.03,0.03
Harrah's Las Vegas,0.025,0.025,0.025
Harrah's Laughlin,0.025,0.025,0.025
Harrah's Resort Atlantic City,0.025,0.025,0.025
Harrods,0.02,0.02,0.02
Harry and David,0.025,0.05,0.025
Harry's Razors,0.125,0.125,0.125
Harvey Nichols,0.04,0.08,0.04
Harvey's Lake Tahoe,0.025,0.025,0.025
Hatch,0.03,0.03,0.03
Hatley,0.02,0.02,0.02
Hats.com,0.05,0.05,0.05
Havaianas,0.04,0.04,0.04
Hawes & Curtis,0.04,0.04,0.04
Hawthorne,0.05,0.05,0.05
Headout,0.01,0.01,0.01
Health-Ade,0.025,0.025,0.025
Healthy Directions,0.04,0.04,0.04
HealthyPets,0.03,0.03,0.03
HearthSong,0.04,0.04,0.04
Heartland America,0.02,0.02,0.02
Heartland Vet Supply,0.03,0.03,0.03
Heat Holders,0.015,0.015,0.015
Heist Studios,0.02,0.02,0.025
Hello Bello,0.055,0.055,0.055
Hello Molly,0.025,0.025,0.025
Helmm,0.05,0.05,0.05
Helmut Lang,0.03,0.03,0.03
Helzberg Diamonds,0.03,0.03,0.03
Hemp Bombs,0.1,0.1,0.1
Henry Rose,0.03,0.03,0.03
HerRoom,0.04,0.04,0.04
Herbal Dynamics Beauty,0.09,0.09,0.09
Herbivore,0.03,0.03,0.03
Herschel Supply Co.,0.03,0.03,0.03
Hertz,0.025,0.025,0.025
Herve Leger,0.03,0.03,0.03
Heshi,0.1,0.1,0.1
HexClad Cookware,0.03,0.03,0.03
Hey Honey,0.075,0.075,0.075
Hickory Farms,0.025,0.025,0.025
High Sierra,0.025,0.025,0.025
Highlights,0.07,0.075,0.075
Hilton,0.025,0.025,0.025
Hilton – Points.com,0.0125,0.0125,0.0125
Hips & Curves,0.025,0.025,0.025
HisRoom,0.04,0.04,0.04
Hobbs,0.01,0.01,0.01
Hobby Lobby,0.02,0.02,0.02
HockeyMonkey.com,0.01,0.01,0.01
Hoka One One,0.04,0.04,0.04
Holabird Sports,0.025,0.025,0.025
Holiday Autos,0.025,0.025,0.025
Holiday Inn Club Vacations by IHG,0.03,0.03,0.03
Holiday Inn Express by IHG,0.03,0.03,0.03
Holiday Inn by IHG,0.03,0.03,0.03
Holly and Beau,0.05,0.05,0.05
HollywoodMemorabilia.com,0.015,0.015,0.015
Home & Villas by Marriott,0.015,0.015,0.015
Homer,0.175,0.175,0.175
Homesick Candles,0.03,0.03,0.03
Honeywell PPE,0.05,0.05,0.05
Horchow,0.02,0.02,0.02
Horizon Fitness,0.025,0.025,0.025
HorseLoverZ.com,0.025,0.025,0.025
Hostinger,0.05,0.05,0.05
Hot Shot's Secret,0.04,0.04,0.04
Hot Sox,0.04,0.04,0.04
Hot Topic,0.01,0.01,0.01
Hotel Chocolat,0.035,0.035,0.035
Hotel Indigo by IHG,0.03,0.03,0.03
HotelTonight,0.02,0.02,0.02
HotelTravelClub.com,0.1,0.1,0.1
Hotels.com,0.01,0.01,0.01
HotelsCombined,0.03,0.03,0.0375
Hotspot Shield VPN,0.2,0.2,0.2
Hotter Shoes,0.05,0.05,0.05
Hotwire,0.05,0.05,0.05
Huda Beauty,0.025,0.025,0.025
Hudson Jeans,0.04,0.04,0.04
Hugo Boss,0.05,0.1,0.05
Humble Bundle,0.04,0.04,0.04
Hunter Boots,0.02,0.02,0.02
Hurley,0.075,0.075,0.075
Hush Puppies,0.035,0.035,0.035
Hydro Flask,0.02,0.02,0.02
Hydrow,0.04,0.04,0.04
IDLE Sleep,0.075,0.075,0.075
IFCHIC,0.02,0.02,0.02
IGK Hair,0.04,0.04,0.04
IHG Hotels & Resorts,0.03,0.03,0.03
ILoveDooney,0.05,0.05,0.05
IMAGE Skincare,,,0.06
INNOVO,0.03,0.03,0.03
INTELLIbed,0.04,0.04,0.04
INTERMIX,0.04,0.04,0.04
INTO THE AM,0.05,0.05,0.05
IRO,0.05,0.05,0.05
ISA Professional,0.05,0.05,0.05
IT Cosmetics,0.04,0.04,0.04
IZOD,0.03,0.03,0.03
Ice Rings,0.025,0.025,0.025
Icing,0.04,0.04,0.04
IdealFit,0.04,0.04,0.04
Igloo,0.03,0.03,0.03
Illamasqua,0.035,0.035,0.035
In Common Beauty,0.1,0.1,0.1
In The Style,0.05,0.05,0.05
In The Swim,0.03,0.03,0.03
InStyler,0.03,0.03,0.03
Incase,0.01,0.01,0.01
Incipio,0.02,0.02,0.02
Indochino,0.01,0.01,0.01
Industry West,0.03,0.03,0.03
InfiniteAloe,0.05,0.05,0.05
Infinity Beer Pong,0.05,0.05,0.05
Influence U,0.06,0.06,0.06
Ingrid & Isabel,0.02,0.02,0.02
InkCartridges,0.09,0.09,0.09
Inkkas,0.05,0.05,0.05
InsideTracker,0.04,0.04,0.055
Insomniac,0.05,0.05,0.05
Inspire Uplift,0.03,0.03,0.03
Insta Slim,0.05,0.05,0.05
Instacart,0.01,0.01,0.01
Instant,0.03,0.03,0.03
InterContinental Hotels and Resorts by IHG,0.03,0.03,0.03
International Open Academy,0.1,0.1,0.1
International Tool,0.04,0.04,0.04
Intimina,0.05,0.05,0.05
Intimissimi,0.035,0.035,0.035
Isotonix,0.02,0.02,0.02
Ivory Ella,0.04,0.04,0.04
J.Crew,0.05,0.05,0.05
J.Crew Factory,0.015,0.015,0.015
J.Jill,0.015,0.015,0.015
J.McLaughlin,0.05,0.05,0.05
J.R. Dunn Jewelers,0.01,0.01,0.01
JBL,0.03,0.03,0.03
JCPenney,0.06,0.03,0.06
JD Sports,0.03,0.03,0.1
JEGS,0.01,0.01,0.01
JINsoon,0.05,0.05,0.05
JLab Audio,0.05,0.05,0.05
JOAH,0.05,0.05,0.05
JOSEPH,0.03,0.03,0.03
JTV Jewelry,0.02,0.02,0.02
JURA,0.02,0.02,0.02
JW Marriott,0.04,0.045,0.045
Jabra,0.06,,
Jacadi,0.04,0.04,0.04
Jachs NY,0.03,0.03,0.03
Jack Rogers,0.015,0.015,0.015
Jack Wills,0.035,0.035,0.035
Jack Wolfskin,0.035,0.035,0.035
JackRabbit,0.04,0.04,0.04
Jackson Galaxy,0.04,0.04,0.04
Jambu & Co,0.05,0.05,0.05
James Perse,0.01,0.01,0.01
JanSport,0.04,0.04,0.04
Jane.com,0.01,0.01,0.01
Janie and Jack,0.02,0.02,0.02
Jared - The Galleria of Jewelry,0.04,0.03,0.03
Java Sok,0.075,0.075,0.075
Jaxon Lane,0.04,0.04,0.04
Jayson Home,0.03,0.03,0.03
Jelly Belly,0.025,0.025,0.025
Jennifer Behr,0.035,0.035,0.035
Jenny Bird,0.025,0.025,0.025
JetBlue Vacations,0.01,0.01,0.01
Jetson,0.1,0.1,0.1
Jewel Osco,0.01,0.01,0.01
Jewelry Affairs,0.075,0.075,0.075
Jimmy Choo,0.02,0.02,0.02
Jimmy Jazz,0.02,0.02,0.02
Jimmyjane,0.06,0.06,0.06
Jo Malone London,0.03,0.03,0.03
Jockey,0.04,0.04,0.04
Joe Fresh,0.01,0.01,0.01
Joe's New Balance Outlet,0.015,0.015,0.015
John Elliott,0.01,0.01,0.01
John Hardy,0.035,0.035,0.035
John Robshaw,0.025,0.025,0.025
Johnnie-O,0.04,0.04,0.04
Johnston & Murphy,0.035,0.035,0.035
Joie,0.05,0.05,0.05
Joie de Viv,0.035,0.035,0.035
Jonathan Adler,0.02,0.02,0.02
Jos. A. Bank,0.025,0.025,0.025
Joules,0.035,0.035,0.035
Journeys,0.02,0.02,0.02
Joybuy,0.015,0.015,0.015
Joylux,0.025,0.025,0.025
JuJuBe,0.03,0.03,0.03
Judith March,0.05,0.05,0.05
Juice Beauty,0.05,0.05,0.05
Juicy Couture Beauty,0.075,0.075,0.075
Julep,0.04,0.04,0.04
JumpSport,0.025,0.025,0.025
Jurlique,0.04,0.04,0.04
Just My Size,0.01,0.01,0.01
Just Thrive,0.5,0.5,0.5
Justice,0.05,0.05,0.05
Juvia's Place,0.04,0.04,0.04
K-DEER,0.025,0.025,0.025
KEH Camera,0.01,0.01,0.01
KIND,0.025,0.025,0.025
KOODING,0.035,0.035,0.035
KORA Organics,0.04,0.04,0.04
KORRES,0.06,0.06,0.06
KT Tape,0.025,0.025,0.025
KUIU,0.03,0.03,0.03
KVD Vegan Beauty,0.02,0.02,0.02
KaTom,0.02,0.02,0.02
Kangol,0.05,0.05,0.05
Kaplan Test Prep,0.03,0.03,0.03
Kardiel,0.05,0.05,0.05
Karen Kane,0.04,0.04,0.04
Karl Lagerfeld,0.015,0.015,0.015
Karmaloop,0.02,0.02,0.02
Kaspersky,0.2,0.2,0.2
Kassatex,0.02,0.02,0.02
Kate Aspen,0.06,0.06,0.06
Kate Farms,0.02,0.02,0.02
Kate Somerville,0.03,0.03,0.03
Katin,,,0.03
Katy Perry Collections,0.05,0.05,0.05
Kaufmann Mercantile,0.04,0.04,0.04
Kay Jewelers,0.03,0.03,0.03
Kay Outlet,0.03,0.03,0.03
Keds,0.05,0.05,0.05
Keen Footwear,0.05,0.05,0.05
Keeper Security,0.05,0.05,0.05
Keetsa,0.025,0.025,0.025
KelbyOne,0.07,0.075,0.075
Kendra Scott,0.03,0.03,0.03
Kenneth Cole,0.02,0.02,0.02
Kenzzi,0.025,0.025,
Kerastase,0.12,0.06,0.06
Kettle & Fire,0.025,0.025,0.025
Keurig,0.02,0.02,0.02
Keys Soulcare,0.05,0.05,0.05
Kids Discover,0.03,0.03,0.03
Kids Foot Locker,0.03,0.06,0.03
Kiehl's,0.04,0.06,0.08
Kiko Cosmetics,0.05,0.05,0.05
Kilian Paris,0.03,0.03,0.03
Kin Euphorics,0.025,0.025,0.025
Kindred Bravely,0.04,0.04,0.04
Kings Bottle,0.045,0.045,0.045
Kipling,0.04,0.04,0.04
Kirna Zabête,0.03,0.03,0.03
Kiss My Keto,0.05,0.05,0.05
KissUSA,0.05,0.05,0.05
Kit and Ace,0.015,0.015,0.015
KitchenAid,0.01,0.01,0.01
Kiwi.com,0.015,0.015,0.015
KiwiCo,0.075,0.075,0.075
Kiyonna,0.05,0.05,0.05
Klean Athlete,0.06,0.06,0.06
Klipsch,,,0.025
Klorane USA,0.04,0.04,0.04
Knack,,,0.01
Kneipp,0.04,0.04,0.04
Knockaround,0.02,0.02,0.02
Koh Gen Do,0.04,0.04,0.04
Kohl's,0.01,0.01,0.01
Kohler,0.02,0.02,0.02
Kole Imports,0.015,0.01,0.01
KonMari,0.02,0.02,0.02
Koolaburra,0.045,0.045,0.045
Koral,0.03,0.03,0.03
Korean Air,0.01,0.01,0.01
Kori Krill Oil,0.04,0.04,0.04
Kosterina,0.035,0.035,0.035
Kroger Grocery Delivery and Ship,0.02,0.02,0.02
Kule,0.05,0.05,0.05
Kurt Geiger Ltd.,0.05,0.05,0.075
Kut from the Kloth,0.04,0.04,0.04
Kylie Cosmetics + Skin,0.05,0.02,0.02
Kühl,0.04,0.04,0.04
L'Artisan Parfumeur,0.02,0.02,0.02
L'OCCITANE,0.03,0.03,0.03
L*Space,0.01,0.01,0.01
L.L.Bean,0.02,0.02,0.02
LACAUSA,0.025,0.025,0.025
LARQ,0.04,0.04,0.04
LATHER,0.035,0.05,0.05
LEGO,0.025,0.025,0.025
LESET,0.06,0.06,0.06
LG Electronics,,0.03,0.03
LIVELY,0.01,0.01,0.01
LL Flooring,0.01,0.01,0.01
LOFT,0.02,0.02,0.04
LOOK OPTIC,0.025,0.025,0.025
LORAC,0.03,0.03,0.03
LTD Commodities,0.02,0.02,0.02
LUX LED Lighting,0.065,0.065,0.065
LXR,0.025,0.025,0.025
La Canadienne,0.02,0.02,0.02
La Garconne,0.025,0.025,0.02
La Mer,0.03,0.03,0.03
La Roche-Posay,0.04,0.04,0.04
La-Z-Boy,0.01,0.01,0.01
Lab Series for Men,0.04,0.04,0.04
Lacoste,0.01,0.01,0.01
LacrosseMonkey.com,0.01,0.01,0.01
Ladder,0.25,0.25,0.25
Lakeside Collection,0.02,0.02,0.02
Lalo,0.015,0.015,0.015
Lancer Skincare,0.025,0.025,0.025
Lancome,0.03,0.03,0.03
Lands' End,0.02,0.02,0.04
Lands' End Business,0.04,0.04,0.04
Lane Bryant,0.02,0.02,0.02
Laplink,0.025,0.025,0.025
Lark Adventurewear,0.045,0.045,0.045
LastPass,0.2,0.2,0.2
Laura Geller,0.04,0.04,0.04
Laura Mercier,0.025,0.025,0.025
Layla,0.075,0.075,0.075
LazyOne,0.035,0.035,0.035
Leanin' Tree,0.02,0.02,0.02
Learning Resources,0.04,0.04,0.04
Leatherman,0.025,0.025,0.025
Lee Jeans,0.02,0.02,0.02
Leesa,0.03,0.03,0.03
Legion Athletics,0.02,0.02,0.02
Lehman's,0.02,0.02,0.02
Lenovo,0.06,0.06,0.06
LensCrafters,0.04,0.04,0.04
LensDirect.com,0.05,0.05,0.05
LensPure,0.04,0.04,0.04
Lensabl,0.05,0.05,0.05
LensesRX,0.03,0.03,0.03
Lenskart,0.04,0.04,0.04
Leslie's Pool,0.025,0.025,0.025
Level Sleep,0.06,0.06,0.06
Levi's,0.05,0.05,0.05
LexMod,0.04,0.04,0.04
Liberty London US,0.025,0.1,0.1
Liberty Tax,0.05,0.05,0.05
Lids.com,0.01,0.01,0.01
Life Extension,0.05,0.03,0.02
Life Stride,0.04,0.04,0.04
Life and Home,0.05,0.05,0.05
Life is Good,0.05,0.05,0.05
LifeLock,0.8,0.4,0.4
LifeProof,0.05,0.05,0.05
Lifeline Skin Care,0.05,0.05,0.05
Lightbox Jewelry,0.03,0.03,0.03
Lighting New York,0.04,0.04,0.04
Liingo Eyewear,0.08,0.08,0.08
Lillian Vernon,0.045,0.045,0.045
Lime Crime,0.01,0.025,0.025
Limoges Jewelry,0.06,0.06,0.06
Limos.com,0.025,0.025,0.025
Lindt Chocolate,0.025,0.025,0.025
Linens and Hutch,0.05,0.05,0.05
Linux Foundation,0.1,0.1,0.1
Little Passports,0.02,0.02,0.02
Littman Jewelers,0.075,0.075,0.075
Live & Sleep,0.035,0.035,0.035
Liverpool Jeans,0.04,0.04,0.04
Living Proof,0.04,0.04,0.04
LivingSocial,0.04,0.04,0.04
Lizzy James,0.05,0.05,0.05
Logitech,0.05,0.05,0.05
Logitech G,0.025,0.025,0.025
LongHorn Steakhouse,0.01,0.01,0.01
Loog Guitars,0.05,0.05,0.05
Look Human,0.025,0.025,0.025
Loot Crate,0.04,0.04,0.04
Lord + Taylor,0.04,0.04,0.04
Lorex Technology,0.03,0.02,0.02
