Merchant,2021-09-12,2021-09-18,2021-09-24
ArtPix 3D,0.05,0.03,0.03
Artemest,0.045,0.045,0.045
Arteza,0.025,0.025,0.025
Ascend Hotel Collection by Choice Hotels,0.03,0.01,0.01
Ashford,0.03,0.03,0.03
Ashley HomeStore,0.01,0.01,0.01
Ashley Stewart,0.025,0.025,0.025
Assouline,0.025,0.025,0.025
Athleta,0.04,0.06,0.02
Atlantis,0.02,0.02,0.02
Atom Tickets,0.02,0.02,0.02
Auburn University Anders Bookstore,,0.02,0.02
Audio Advice,0.03,0.03,0.03
AuraGlow,0.04,0.055,0.055
Auto Barn,0.045,0.045,0.045
Auto Europe Car Rentals,0.035,0.035,0.035
AutoZone,0.01,0.01,0.01
Autodesk,0.045,0.045,0.045
Autonomous,0.03,0.03,0.03
Avast,0.125,0.125,0.125
Aveda,0.03,0.06,0.03
Avene,0.04,0.04,0.04
Avenova,0.03,0.03,0.03
Averr Aglow,0.03,0.03,
Avery WePrint,0.02,0.02,0.02
Avid,0.075,0.075,0.075
Avis,0.01,0.01,0.01
Avon,0.03,0.03,0.015
Avoya Travel,0.02,0.02,0.02
Awara,0.06,0.06,0.06
B-Glowing,0.02,0.02,0.02
BABOR,0.05,0.05,0.05
BAGGU,0.025,0.025,0.025
BANDIER,0.03,0.03,0.03
BBQGuys,0.015,0.015,0.03
BCBG,0.02,0.02,0.02
BH Cosmetics,0.03,0.03,0.03
BHLDN,0.01,0.01,0.01
BJ's,0.015,0.015,0.015
BJJ Fanatics,0.02,0.02,0.02
BRAVO SIERRA,0.06,0.06,0.06
BURST,0.03,0.03,0.03
BUXOM,0.04,0.04,0.04
Baabuk,0.05,0.05,0.05
Babbel,0.05,0.05,0.05
Babo Botanicals,0.04,0.04,0.04
Baby Aspen,0.06,0.06,0.06
Baby Gap,0.06,0.06,0.06
Baby Jogger,0.015,0.015,0.015
Babybasket.com,0.06,0.06,0.06
Backcountry.com,0.04,0.04,0.04
Bags & Bows,0.04,0.04,0.04
Bahama Breeze,0.01,0.01,0.01
Bake Me A Wish,0.06,0.06,0.06
Baked by Melissa,0.03,0.03,0.03
Balance by bistroMD,0.025,0.04,0.04
Balfour,0.025,0.025,0.025
Bali Bras,0.02,0.02,0.02
Ballard Designs,0.015,0.015,0.015
Bally,0.02,0.02,0.02
Bally's Las Vegas,0.025,0.025,0.025
Baltini,0.015,0.015,0.015
Banana Republic,0.02,0.06,0.02
Banana Republic CA,0.02,0.02,0.02
Banana Republic Factory,0.02,0.06,0.02
Banila Co,0.075,0.075,0.075
BannerBuzz.com,0.05,0.05,0.05
Banter by Piercing Pagoda,0.03,0.03,0.03
Barbell Apparel,0.035,0.035,0.035
Barbeques Galore,0.04,0.04,0.04
Barceló Hotels,0.03,0.03,0.03
Bare Necessities,0.03,0.03,0.03
Barefoot Scientist,0.025,0.025,0.025
Bargain Junkie,0.02,0.02,0.02
Barkev's,0.025,0.025,0.025
Barnes and Noble,0.01,0.01,0.01
Barron Designs,0.015,0.015,0.015
Baseball Savings,0.015,0.015,0.015
BaseballMonkey.com,0.01,0.01,0.01
Basepaws,0.05,0.05,0.05
Bass Pro Shops,0.07,0.0525,0.035
BatBnB,0.025,0.025,0.025
Bates Footwear,0.035,0.035,0.035
Batteries Plus,0.03,0.03,0.03
BauBax,0.05,0.05,0.05
BaubleBar,0.025,0.025,0.025
Beach Camera,0.01,0.01,0.01
Beadaholique,0.035,0.035,0.035
Bealls Florida,0.035,0.035,0.035
Beam,0.05,0.05,0.05
Bean Box,0.045,0.045,0.045
Bear Mattress,0.025,0.025,0.025
Bearaby,0.045,0.045,0.045
Beaulieu Vineyards,0.035,0.035,0.035
BeautifiedYou.com,0.05,0.05,0.05
Beauty Brands,0.035,0.035,0.035
Beauty Care Choices,0.05,0.05,0.05
Beauty Expert,0.025,0.025,0.025
Beauty Plus Salon,0.06,0.06,0.06
BeautyBio,0.03,0.03,0.03
Beautyrest,0.1,0.03,0.03
Becker Professional Education,0.035,0.035,0.035
Bed Bath and Beyond,0.01,0.02,0.01
Bed Threads,0.025,0.025,0.025
Beekeeper's Naturals,0.03,0.03,0.03
Beginning Boutique,0.025,0.025,0.025
Belk.com,0.02,0.02,0.02
Bella Dahl,0.04,0.04,0.04
Bellacor,0.03,0.03,0.03
Bellesa Boutique,0.06,0.06,0.06
Bellhop,0.035,0.035,0.035
Belly Sleep,0.03,0.03,0.03
Belstaff,0.035,,
Belt Outlet,0.05,0.05,0.05
Ben Sherman,0.025,0.025,0.055
Ben Soleimani,0.025,0.025,0.025
Benefit Cosmetics,0.02,0.02,0.02
Bergdorf Goodman,0.1,0.1,0.1
Beringer,0.035,0.035,0.035
Besame Cosmetics,0.05,0.05,0.05
Best Bee Brothers,0.05,0.05,0.05
Best Bully Sticks,0.03,0.03,0.03
Best Buy,0.01,0.01,0.01
Best Choice Products,0.01,0.01,0.01
Best Western Hotels & Resorts,0.06,0.06,0.03
BestBuyEyeGlasses,0.05,0.05,0.05
Betsey Johnson,0.015,0.015,0.015
Better World Books,0.025,0.025,0.025
Betterbraces.com,0.03,0.03,0.03
Betteridge,0.03,0.03,0.03
Beverly Diamonds,0.05,0.05,0.05
Beyond Polish,0.025,0.025,0.025
Beyond Yoga,0.02,0.02,0.02
Big Bus Tours,0.05,0.05,0.05
Bigstock,0.02,0.02,0.02
Bikini.com,0.05,0.05,0.05
Bill Levkoff,0.04,0.04,0.04
Billabong,0.015,0.015,0.015
Binxy Baby,0.035,0.035,0.035
BioClarity,0.075,0.075,0.075
BioSchwartz,0.075,0.075,0.075
Biochem Protein,0.04,0.04,0.04
Biossance,0.05,0.15,0.15
Biotherm,0.05,0.05,0.05
Birchbox,0.03,0.03,0.03
Bissell,0.01,0.01,0.01
Bite Beauty,0.04,0.04,0.04
BizChair,0.015,0.015,0.015
Blain's Farm and Fleet,0.015,0.015,0.015
Blair,0.025,0.025,0.025
Blank NYC,0.055,0.055,0.055
Blenders Eyewear,0.03,0.03,0.03
Blendtec,0.04,0.04,0.04
Blick Art Materials,0.015,0.015,0.015
Blinds.com,0.015,0.015,0.015
Bliss,0.05,0.05,0.05
Bloomingdale's,0.02,0.02,0.02
Bloomist,0.02,0.02,0.02
Blooms Today Flowers,0.2,0.2,0.2
Blue & Cream,0.04,0.04,0.04
Blue Bottle Coffee,0.025,0.025,0.025
Blue Nile,0.01,0.01,0.01
Blue Sky,0.03,0.03,0.03
Blue Sky Vitamin,0.025,0.025,0.025
Bluebella,0.05,0.05,0.05
Bluebird Botanicals,0.03,0.03,0.03
Blurb,0.01,0.01,0.01
Bobbi Brown Cosmetics,0.04,0.04,0.04
Bodega,0.015,0.015,0.015
Boden,0.02,0.02,0.02
BodyBio,0.03,0.03,0.03
Bodybuilding.com,,0.04,0.04
Bogner,0.04,0.04,0.04
Bogs Footwear,0.025,0.025,0.025
Bohemian Mama,0.03,0.03,0.025
Boll & Branch,0.02,0.02,0.02
Bomber Eyewear,0.03,0.03,0.03
Bona Fide Masks,0.05,0.05,0.05
Bonafide,0.05,0.05,0.05
Bond No. 9,0.03,0.03,0.03
Bonobos,,0.015,0.015
Book Outlet,0.025,0.025,0.025
BookPal,0.025,0.025,0.025
BookVIP,0.03,0.03,0.03
Booking.com,0.04,0.04,0.04
BooksAMillion,0.025,0.025,0.025
Boombod,0.05,0.05,0.05
Boost Mobile,0.025,0.025,0.025
Borghese,0.04,0.04,0.04
Boscov's,0.025,0.025,0.025
Bose,0.05,0.02,0.02
Boston College Bookstore,,0.02,0.02
Boston Proper,0.06,0.06,0.03
Botanic Choice,0.09,0.09,0.09
Boutique Rugs,0.03,0.04,0.04
Bowflex Shop,0.025,0.025,0.025
BowlersMart,0.025,0.025,0.025
BoxLunch,0.01,0.01,0.01
Boxed,0.015,0.015,0.015
Bradford Exchange,0.02,0.02,0.02
Bradford Exchange Checks,0.1,0.1,0.1
Brahmin,0.035,0.035,0.035
Brain Sensei,0.1,0.1,0.1
BrainMD,0.07,0.07,0.07
Brainiac,0.03,0.03,0.03
Brandless,0.015,0.015,0.015
Bravado Designs,0.03,0.03,0.03
Brentwood Home,0.05,0.05,0.05
Briggs & Riley Travelware,0.025,0.025,0.025
Briogeo,0.015,0.015,0.015
British Airways,0.01,0.01,0.01
Brochu Walker,0.04,0.04,0.04
Brodo,0.09,0.1,0.1
Bronson Vitamins,0.05,0.05,0.05
Brook & York,0.05,0.05,0.05
Brooklinen,0.01,0.01,0.01
Brooks Brothers,0.03,0.03,0.03
Brooks Running,0.01,0.01,0.01
Brookstone,0.05,0.03,0.03
Browns Fashion,0.02,0.02,0.02
Bruno MD,0.045,0.045,0.045
Bruush Oral Care,0.03,0.03,0.03
Brydge,0.04,0.04,0.04
Buckle,0.025,0.025,0.025
Budget Rent-A-Car,0.01,0.01,0.01
Buffalo David Bitton,0.03,0.03,0.03
Buffalo Wild Wings,0.025,0.025,0.025
Buffy,0.015,0.015,0.015
Bugatchi,0.04,0.04,0.04
BuildASign,0.015,0.015,0.015
Built Bar,0.07,0.07,0.07
Bulk Office Supply,0.025,0.025,0.025
Bulldog Skincare,0.05,0.05,0.05
Bulletproof,0.03,0.03,0.03
Bullion Shark,0.025,0.025,0.025
Bulova,0.01,0.01,0.01
Bumble and bumble,0.04,0.04,0.04
Burkes Outlet,0.015,0.015,0.015
Burton Snowboards,0.01,0.01,0.01
Busch Gardens,0.025,0.025,0.025
Butter London,0.05,0.05,0.05
Buydig,0.01,0.01,0.01
C4,0.025,0.025,0.025
CALZEDONIA,0.035,0.035,0.035
CAMI NYC,0.025,0.025,0.025
CAT Footwear,0.035,0.035,0.035
CBD Living,0.1,0.1,0.1
COS,0.03,0.03,0.03
COSMEDIX,0.05,0.05,0.05
CVS Optical,0.04,0.04,0.04
CVS.com,0.05,0.05,0.05
CVSPhoto.com,0.05,0.05,0.05
CabanyCo,0.075,0.075,0.075
Cabela's,0.06,0.045,0.03
Caesars Rewards,0.025,0.025,0.025
Cafe Britt,0.06,0.06,0.06
Cafe Joe,0.035,0.035,0.035
Calendars.com,0.07,0.075,0.075
California Olive Ranch,0.035,0.035,0.035
Caliper CBD,0.05,0.05,0.05
Callaway Apparel,0.025,0.025,0.025
Callaway Golf,0.045,0.045,0.045
Callaway Golf Preowned,0.03,0.03,0.03
Calphalon,0.015,0.015,0.015
Calvin Klein,0.01,0.01,0.04
Cambria Hotels by Choice Hotels,0.03,0.01,0.01
CamelBak,0.025,0.05,0.05
Camp Chef,0.025,0.025,0.025
Camper,0.04,0.04,0.04
Camping World,0.02,0.02,0.02
Candlewood Suites by IHG,0.03,0.03,0.03
Canon,0.025,0.025,0.025
Canva,0.075,0.4,0.4
Canvas Press,0.035,0.035,0.035
CanvasChamp.com,0.02,0.02,0.02
CanvasDiscount.com,0.08,0.08,0.08
CanvasHQ,0.05,0.05,0.05
CanvasPeople,0.055,0.055,0.055
CanvasPop,0.06,0.06,0.06
Capalbo's Gift Baskets,0.06,0.06,0.06
CarCovers.com,0.025,0.025,0.025
Carbon38,0.04,0.04,0.04
Carbonite,0.075,0.075,0.075
CardCash,0.01,0.01,0.01
Carhartt,0.01,0.01,0.01
Cariloha,0.03,0.03,0.03
Cariuma,0.1,0.1,0.1
Carl's Golfland,0.04,0.04,0.04
Carmen Sol,0.04,0.04,0.04
Carol Wright Gifts,0.03,0.03,0.03
Carol's Daughter,0.04,0.04,0.04
Carolina,0.02,0.02,0.02
Carson Dellosa Education,0.03,0.03,0.03
Carter + Main,0.06,0.06,0.06
Carter's,0.06,0.06,0.01
Cartwright,0.08,0.08,0.08
Case-Mate,0.07,0.07,0.07
Casetify,0.06,0.06,0.06
Casper,0.01,0.01,0.01
Castlery,0.025,0.025,0.025
Cate & Chloe,0.05,0.05,0.05
Cath Kidston,0.075,0.075,0.075
Catherines,0.02,0.02,0.02
Caudalie,0.01,0.01,0.01
Certified Piedmontese,0.075,0.075,0.075
Cettire,0.05,0.05,0.05
Chaco,0.04,0.04,0.04
Chadwick's,0.025,0.025,0.025
Challans de Paris,0.065,0.065,0.065
Chamberlain,0.01,0.01,0.01
Champion USA,0.02,0.02,0.02
Champs Sports,0.02,0.03,0.03
Chantecaille,0.04,0.04,0.04
Chantelle,0.04,0.04,0.04
Charles & Keith,0.06,0.06,0.06
Charles Tyrwhitt,0.04,0.04,0.04
Charlotte Russe,0.01,0.01,0.01
Charlotte Tilbury,0.05,0.02,0.02
Charlotte's Web,0.02,0.02,0.02
Cheap Cheap Moving Boxes,0.04,0.04,0.04
Cheap Stair Parts,0.05,0.05,0.05
CheapCaribbean,0.01,0.01,0.01
CheapTickets,0.03,0.03,0.03
Checks SuperStore,0.075,0.075,0.075
Checks Unlimited,0.06,0.06,0.06
Checks in the Mail,0.08,0.08,0.08
Chemical Guys,0.04,0.04,0.04
Cheryl's,0.02,0.02,0.02
Chewy,0.01,0.01,0.01
Chicago Steak Company,0.055,0.055,0.055
Chicco,0.02,0.02,0.02
Chico's,0.02,0.02,0.02
Chico’s Off the Rack,0.02,0.02,0.02
Chilisleep,0.04,0.04,0.04
Chinese Laundry,0.05,0.05,0.05
Choice Hotels,0.03,0.01,0.01
Christophe Robin,0.035,0.035,0.035
Christy Sports,0.025,0.025,0.025
Chrome Industries,0.04,0.04,0.04
Chronicle Books,0.05,0.05,0.05
