,Date,Source,Merchant,Site,Discount
93,2021-09-24,Rakuten,Amols’,amols.com,0.03
94,2021-09-24,Rakuten,Amore Beds,amorebeds.com,0.035
95,2021-09-24,Rakuten,AMOREPACIFIC,amorepacific.com,0.015
96,2021-09-24,Rakuten,Amrita Aromatherapy,amrita.com,0.05
97,2021-09-24,Rakuten,Amrita Singh,amrita-singh.com,0.05
98,2021-09-24,Rakuten,AmScope,amscope.com,0.015
99,2021-09-24,Rakuten,Amsterdam Printing,amsterdam-printing.com,
100,2021-09-24,Rakuten,Amy Myers MD,amymyersmd.com,0.025
101,2021-09-24,Rakuten,"Anantara Hotels, Resorts & Spas",anantara.com,0.015
102,2021-09-24,Rakuten,Ancestry.com,ancestry.com,0.075
103,2021-09-24,Rakuten,ANDREW MARC,andrewmarc.com,0.04
104,2021-09-24,Rakuten,Angara,angara.com,0.01
105,2021-09-24,Rakuten,Angelic Bakehouse,angelicbakehouse.com,0.03
106,2021-09-24,Rakuten,Animal Pak,animalpak.com,0.045
107,2021-09-24,Rakuten,The Animal Rescue Site,theanimalrescuesite.com,0.01
108,2021-09-24,Rakuten,Animoto,animoto.com,0.05
109,2021-09-24,Rakuten,ANINE BING,aninebing.com,0.03
110,2021-09-24,Rakuten,Ann Taylor,anntaylor.com,0.015
111,2021-09-24,Rakuten,Anne Cole,annecole.com,0.035
112,2021-09-24,Rakuten,Anne Klein,anneklein.com,0.03
113,2021-09-24,Rakuten,Anson Calder,ansoncalder.com,0.03
114,2021-09-24,Rakuten,Anthropologie,anthropologie.com,0.01
115,2021-09-24,Rakuten,Antipodes,antipodesnature.com,0.04
116,2021-09-24,Rakuten,AnyPromo.com,anypromo.com,0.01
117,2021-09-24,Rakuten,Apollo Neuroscience,apolloneuro.com,0.02
118,2021-09-24,Rakuten,Appaman,appaman.com,0.05
119,2021-09-24,Rakuten,Apparis,apparis.com,0.03
120,2021-09-24,Rakuten,Apple Music,applemusic.com,4.0
121,2021-09-24,Rakuten,Apple Vacations,applevacations.com,0.01
122,2021-09-24,Rakuten,Apple.com,apple.com,0.02
123,2021-09-24,Rakuten,Appleseed's,appleseeds.com,0.025
124,2021-09-24,Rakuten,Appliances Connection,appliancesconnection.com,0.025
125,2021-09-24,Rakuten,Apres,apres.com,0.065
126,2021-09-24,Rakuten,APT2B,apt2b.com,0.01
127,2021-09-24,Rakuten,Aquasana,aquasana.com,0.05
128,2021-09-24,Rakuten,Aquatalia,aquatalia.com,0.06
129,2021-09-24,Rakuten,Aramark,aramark.com,0.05
130,2021-09-24,Rakuten,Arbor Day Foundation,arborday.com,0.05
131,2021-09-24,Rakuten,Ardene,ardene.com,0.03
132,2021-09-24,Rakuten,aRes Travel,arestravel.com,1.0
133,2021-09-24,Rakuten,Arhaus,arhaus.com,0.01
134,2021-09-24,Rakuten,Armani beauty,giorgioarmanibeauty.com,0.04
135,2021-09-24,Rakuten,Armitron,armitron.com,0.04
136,2021-09-24,Rakuten,Armoire Style,armoire-style.com,25.0
137,2021-09-24,Rakuten,The Art of Shaving,artofshaving.com,0.08
138,2021-09-24,Rakuten,Art.com,art.com,0.025
139,2021-09-24,Rakuten,Artemest,artemest.com,0.045
140,2021-09-24,Rakuten,Arteza,arteza.com,0.025
141,2021-09-24,Rakuten,ArtPix 3D,artpix3d.com,0.03
142,2021-09-24,Rakuten,Ascend Hotel Collection by Choice Hotels,choicehotels-ascend.com,0.01
143,2021-09-24,Rakuten,Ashford,ashford.com,0.03
144,2021-09-24,Rakuten,Ashley HomeStore,ashleyfurniture.com,0.01
145,2021-09-24,Rakuten,Ashley Stewart,ashleystewart.com,0.025
146,2021-09-24,Rakuten,ASICS,asics.com,0.03
147,2021-09-24,Rakuten,ASOS,asos.com,0.025
148,2021-09-24,Rakuten,Assouline,assouline.com,0.025
149,2021-09-24,Rakuten,ASTR the Label,astrthelabel.com,0.05
150,2021-09-24,Rakuten,AT&T Internet,att.com,75.0
151,2021-09-24,Rakuten,AT&T Wireless,attwireless.com,85.0
152,2021-09-24,Rakuten,Athleta,athleta.com,0.02
153,2021-09-24,Rakuten,Atkins,atkins.com,
154,2021-09-24,Rakuten,Atlantis,atlantis.com,0.02
155,2021-09-24,Rakuten,ATM Anthony Thomas Melillo,atmcollection.com,0.04
156,2021-09-24,Rakuten,ATN,atncorp.com,0.025
157,2021-09-24,Rakuten,Atom Tickets,atomtickets.com,0.02
158,2021-09-24,Rakuten,ATTITUDE,attitudeliving.com,0.0125
159,2021-09-24,Rakuten,Auburn University Anders Bookstore,auburn-university-bookstore.com,0.02
160,2021-09-24,Rakuten,Audio Advice,audioadvice.com,0.03
161,2021-09-24,Rakuten,AuraGlow,auraglow.com,0.055
162,2021-09-24,Rakuten,AUrate New York,auratenewyork.com,0.035
163,2021-09-24,Rakuten,Austin Canoe & Kayak,austinkayak.com,
164,2021-09-24,Rakuten,Auto Barn,autobarn.com,0.045
165,2021-09-24,Rakuten,Auto Europe Car Rentals,autoeurope.com,0.035
166,2021-09-24,Rakuten,Auto Parts Warehouse,autopartswarehouse.com,
167,2021-09-24,Rakuten,Autodesk,autodesk.com,0.045
168,2021-09-24,Rakuten,Autonomous,autonomous.ai.com,0.03
169,2021-09-24,Rakuten,AutoZone,autozone.com,0.01
170,2021-09-24,Rakuten,Avast,avast.com,0.125
171,2021-09-24,Rakuten,Aveda,aveda.com,0.03
172,2021-09-24,Rakuten,Avene,aveneusa.com,0.04
173,2021-09-24,Rakuten,Avenova,avenova.com,0.03
174,2021-09-24,Rakuten,avenue,avenue.com,0.025
175,2021-09-24,Rakuten,Avery WePrint,avery.com,0.02
176,2021-09-24,Rakuten,AVG,avg.com,0.15
177,2021-09-24,Rakuten,Avid,avid.com,0.075
178,2021-09-24,Rakuten,Avis,avis.com,0.01
179,2021-09-24,Rakuten,Avon,avon.com,0.015
180,2021-09-24,Rakuten,Avoya Travel,avoyatravel.com,0.02
181,2021-09-24,Rakuten,Awara,awarasleep.com,0.06
182,2021-09-24,Rakuten,B-Glowing,b-glowing.com,0.02
183,2021-09-24,Rakuten,b.glen,bglen-us.com,5.0
184,2021-09-24,Rakuten,Baabuk,baabuk.com,0.05
185,2021-09-24,Rakuten,Babbel,babbel.com,0.05
186,2021-09-24,Rakuten,Babies R Us,babiesrus.com,
187,2021-09-24,Rakuten,Babo Botanicals,babobotanicals.com,0.04
188,2021-09-24,Rakuten,BABOR,us-babor.com,0.05
189,2021-09-24,Rakuten,Baby Aspen,babyaspen.com,0.06
190,2021-09-24,Rakuten,Baby Gap,babygap.com,0.06
191,2021-09-24,Rakuten,Baby Jogger,babyjogger.com,0.015
192,2021-09-24,Rakuten,Babybasket.com,babybasket.com,0.06
193,2021-09-24,Rakuten,Backcountry.com,backcountry.com,0.04
194,2021-09-24,Rakuten,BAGGU,baggu.com,0.025
195,2021-09-24,Rakuten,Bags & Bows,bagsandbowsonline.com,0.04
196,2021-09-24,Rakuten,Bahama Breeze,bahamabreeze.com,0.01
197,2021-09-24,Rakuten,Bake Me A Wish,bakemeawish.com,0.06
198,2021-09-24,Rakuten,Baked by Melissa,bakedbymelissa.com,0.03
199,2021-09-24,Rakuten,Balance by bistroMD,balance-bistromd.com,0.04
200,2021-09-24,Rakuten,Balfour,balfour.com,0.025
201,2021-09-24,Rakuten,Bali Bras,balibras.com,0.02
202,2021-09-24,Rakuten,Ballard Designs,ballarddesigns.com,0.015
203,2021-09-24,Rakuten,Bally,bally.com,0.02
204,2021-09-24,Rakuten,Bally's Las Vegas,ballyslasvegas.com,0.025
205,2021-09-24,Rakuten,Baltini,baltini.com,0.015
206,2021-09-24,Rakuten,Banana Republic,bananarepublic.com,0.02
207,2021-09-24,Rakuten,Banana Republic CA,bananarepublicca.com,0.02
208,2021-09-24,Rakuten,Banana Republic Factory,bananarepublicfactory.com,0.02
209,2021-09-24,Rakuten,BANDIER,bandier.com,0.03
210,2021-09-24,Rakuten,Banila Co,banilausa.com,0.075
211,2021-09-24,Rakuten,BannerBuzz.com,bannerbuzz.com,0.05
212,2021-09-24,Rakuten,Banter by Piercing Pagoda,banter.com,0.03
213,2021-09-24,Rakuten,Barbell Apparel,barbellapparel.com,0.035
214,2021-09-24,Rakuten,Barbeques Galore,bbqgalore.com,0.04
215,2021-09-24,Rakuten,Barceló Hotels,barcelohotels.com,0.03
216,2021-09-24,Rakuten,bare + BEAUTY,barebeauty.com,
217,2021-09-24,Rakuten,Bare Necessities,barenecessities.com,0.03
218,2021-09-24,Rakuten,Barefoot Scientist,barefootscientist.com,0.025
219,2021-09-24,Rakuten,bareMinerals,bareminerals.com,0.1
220,2021-09-24,Rakuten,Bargain Junkie,bargainjunkie.com,0.02
221,2021-09-24,Rakuten,BARK Bright,brightdental.com,10.0
222,2021-09-24,Rakuten,BarkBox,barkbox.com,9.0
223,2021-09-24,Rakuten,Barkev's,barkevs.com,0.025
224,2021-09-24,Rakuten,BarkShop,barkshop.com,
225,2021-09-24,Rakuten,Barnes and Noble,barnesandnoble.com,0.01
226,2021-09-24,Rakuten,Barneys New York,barneysnewyork.com,
227,2021-09-24,Rakuten,Barneys Warehouse,barneyswarehouse.com,
228,2021-09-24,Rakuten,Barron Designs,barrondesigns.com,0.015
