Date,Source,Merchant,Site,Discount
2021-09-12,Rakuten,Amsterdam Printing,amsterdam-printing.com,nan
2021-09-12,Rakuten,Amy Myers MD,amymyersmd.com,0.025
2021-09-12,Rakuten,"Anantara Hotels, Resorts & Spas",anantara.com,0.015
2021-09-12,Rakuten,Ancestry.com,ancestry.com,0.075
2021-09-12,Rakuten,ANDREW MARC,andrewmarc.com,0.04
2021-09-12,Rakuten,Angara,angara.com,0.01
2021-09-12,Rakuten,Angelic Bakehouse,angelicbakehouse.com,0.035
2021-09-12,Rakuten,Animal Pak,animalpak.com,0.045
2021-09-12,Rakuten,The Animal Rescue Site,theanimalrescuesite.com,0.01
2021-09-12,Rakuten,Animoto,animoto.com,0.05
2021-09-12,Rakuten,ANINE BING,aninebing.com,0.03
2021-09-12,Rakuten,Ann Taylor,anntaylor.com,0.015
2021-09-12,Rakuten,Anne Cole,annecole.com,0.035
2021-09-12,Rakuten,Anne Klein,anneklein.com,0.03
2021-09-12,Rakuten,Anson Calder,ansoncalder.com,0.03
2021-09-12,Rakuten,Anthropologie,anthropologie.com,0.01
2021-09-12,Rakuten,Antipodes,antipodesnature.com,0.04
2021-09-12,Rakuten,AnyPromo.com,anypromo.com,0.01
2021-09-12,Rakuten,Apollo Neuroscience,apolloneuro.com,0.02
2021-09-12,Rakuten,Appaman,appaman.com,0.035
2021-09-12,Rakuten,Apparis,apparis.com,0.03
2021-09-12,Rakuten,Apple Music,applemusic.com,4
2021-09-12,Rakuten,Apple Vacations,applevacations.com,0.01
2021-09-12,Rakuten,Apple.com,apple.com,0.02
2021-09-12,Rakuten,Appleseed's,appleseeds.com,0.025
2021-09-12,Rakuten,Appliances Connection,appliancesconnection.com,0.03
2021-09-12,Rakuten,Apres,apres.com,0.065
2021-09-12,Rakuten,APT2B,apt2b.com,0.01
2021-09-12,Rakuten,Aquasana,aquasana.com,0.05
2021-09-12,Rakuten,Aquatalia,aquatalia.com,0.06
2021-09-12,Rakuten,Aramark,aramark.com,0.05
2021-09-12,Rakuten,Arbor Day Foundation,arborday.com,0.05
2021-09-12,Rakuten,Ardene,ardene.com,0.03
2021-09-12,Rakuten,aRes Travel,arestravel.com,1
2021-09-12,Rakuten,Arhaus,arhaus.com,0.01
2021-09-12,Rakuten,Armani beauty,giorgioarmanibeauty.com,0.04
2021-09-12,Rakuten,Armoire Style,armoire-style.com,25
2021-09-12,Rakuten,The Art of Shaving,artofshaving.com,0.04
2021-09-12,Rakuten,Art.com,art.com,0.025
2021-09-12,Rakuten,Artemest,artemest.com,0.045
2021-09-12,Rakuten,Arteza,arteza.com,0.025
2021-09-12,Rakuten,ArtPix 3D,artpix3d.com,0.05
2021-09-12,Rakuten,Ascend Hotel Collection by Choice Hotels,choicehotels-ascend.com,0.03
2021-09-12,Rakuten,Ashford,ashford.com,0.03
2021-09-12,Rakuten,Ashley HomeStore,ashleyfurniture.com,0.01
2021-09-12,Rakuten,Ashley Stewart,ashleystewart.com,0.025
2021-09-12,Rakuten,ASICS,asics.com,0.03
2021-09-12,Rakuten,ASOS,asos.com,0.025
2021-09-12,Rakuten,Assouline,assouline.com,0.025
2021-09-12,Rakuten,ASTR the Label,astrthelabel.com,0.05
2021-09-12,Rakuten,AT&T Internet,att.com,75
2021-09-12,Rakuten,AT&T Wireless,attwireless.com,85
2021-09-12,Rakuten,Athleta,athleta.com,0.04
2021-09-12,Rakuten,Atkins,atkins.com,nan
2021-09-12,Rakuten,Atlantis,atlantis.com,0.02
2021-09-12,Rakuten,ATM Anthony Thomas Melillo,atmcollection.com,0.04
